,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),Z,age (yr),flag,abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),distance_star_gas(kpc),CIELOidx_closest_gas_particle
668,27765141,0.39267647,-0.8052182,0.5003157,-1.2530855,-6.845584,2.3395655,16153.268,0.000947025,3781095504.760742,0.0,3880.4846,0.93654436,0.18190366,4.750421,6.07603,1.8227993,12257.486,0.016055593,0.3850996,0.98897076,0.13744539,0.002278674,0.10944473445514581,27730378
669,2175175488,0.29779917,-0.7943709,0.5533535,24.24458,17.790085,-18.695827,17345.938,0.008367631,446532249.4506836,0.0,4335.38,13.822161,2.7466106,89.23081,12.047886,11.52653,12865.414,0.1427081,8.719315,6.0344896,0.83059466,0.043273628,0.12741806893831437,27651416
670,28128382,0.47676238,-0.7217814,0.41559517,33.752228,9.914368,3.1782541,16128.938,9.951025e-05,37246704.1015625,0.0,3870.9683,0.086088605,0.015935313,0.35348192,0.78551495,0.21079195,12256.364,0.0006365778,0.021096956,0.11518989,0.016155288,0.00010333307,0.11301150753465808,27730378
671,28171015,0.47734475,-0.8388894,0.40980443,-22.698906,58.473892,-36.20475,16273.695,0.0009433905,8208356857.299805,0.0,3931.0576,1.7378241,0.3316722,9.77506,0.57730335,1.2006876,12327.283,0.002146609,0.9961782,0.6331976,0.09553134,0.0028490175,0.07138933082273022,27530465
672,27832278,0.3406804,-0.93463296,0.29279825,-19.986237,-2.2024372,-18.098375,16309.227,0.0017013443,8861352920.532227,0.0,3941.9214,2.4632833,0.4827565,15.495724,3.9889615,2.4100432,12339.558,0.014672595,1.4367808,1.273169,0.17517754,0.0070419544,0.09447960009508839,27829981
673,27527399,0.5039197,-0.92625135,0.2582873,-13.6881895,11.641784,-6.5016975,16598.314,0.0032122247,6208192348.480225,0.0,4052.9492,5.3017883,1.016792,32.896534,4.212516,4.1702337,12492.046,0.028169801,3.1977756,2.1755683,0.301727,0.01640549,0.16910051559757097,27829981
674,27800132,0.5276776,-0.8246965,0.25959048,0.7258625,-7.2860384,16.72667,16125.233,3.372952e-06,11679420471.191406,0.0,3870.0427,0.0024384737,0.000429131,0.0072194976,0.03155375,0.0077748434,12255.136,5.856376e-08,0.00010198171,0.0042711156,0.0006007834,0.0,0.09905255726481774,28181879
675,28125783,0.46857396,-0.6801683,0.26095897,0.7683556,31.367815,27.32222,16812.734,0.00478814,3377297401.4282227,0.0,4133.805,7.73627,1.5580814,48.179955,7.3111477,6.5697494,12598.427,0.14976352,5.0299063,3.4561539,0.4859544,0.02474538,0.15512292873424888,2175612030
676,27692473,0.4979416,-0.7424726,0.24855807,38.051304,-11.684596,-48.914192,16440.0,0.002249274,10817148208.618164,0.0,3993.4075,3.6465504,0.73404086,23.77758,1.8732123,2.7964919,12409.613,0.05692467,2.4232934,1.4566348,0.2010556,0.012275497,0.12729823842078006,28181879
677,27610802,0.44248655,-0.7351086,0.27587554,-6.9699607,13.533529,-1.7181954,17733.973,0.0112974215,3814568519.592285,0.0,4480.3687,18.442537,3.752433,123.24307,16.907404,15.797676,13053.254,0.3545287,12.415309,8.250061,1.1153094,0.06982251,0.16941600631892675,27730378
678,2175611678,0.39205885,-0.7901187,0.29502255,-27.725203,14.862954,-35.296864,16803.295,0.004981193,4329023361.206055,0.0,4130.893,7.8038216,1.6286033,54.342888,4.1386366,6.1940117,12588.702,0.21840261,5.7062945,3.207249,0.4261264,0.034440573,0.14699129666969296,27730378
679,2175280936,0.34650406,-0.73480546,0.25745624,13.8665905,27.253284,-45.442318,16749.668,0.0050187935,1332421302.7954102,0.0,4106.9683,7.488053,1.5209641,49.257896,9.594648,6.9522586,12558.636,0.14721797,4.92852,3.6502163,0.49550018,0.027851656,0.15418559195501091,2175133097
680,27922515,0.32041666,-0.6881972,0.27404433,1.5833092,2.5396383,-1.9870371,16628.92,0.0030664937,12027629852.294922,0.0,4066.7402,5.402071,1.0696454,32.196648,2.4387882,3.9759262,12511.187,0.0773356,3.4243999,2.0889583,0.30470726,0.013994618,0.10902571550340123,2175133097
681,27896282,0.2660315,-0.69418323,0.16302072,-1.3122412,12.0661545,14.103348,16126.074,6.684078e-06,13328041076.660156,0.0,3870.3833,0.010025272,0.0020810799,0.06937971,0.0059858514,0.008063986,12255.585,0.00025940858,0.00721097,0.004181678,0.00055701757,4.297046e-05,0.10050529763831255,28169305
682,27834026,0.2538018,-0.76972693,0.24290273,35.849365,30.196487,4.40492,16200.131,0.00068187533,183129310.60791016,0.0,3901.6191,1.0534089,0.19817998,6.0275683,1.5998318,0.93857896,12287.465,0.020857867,0.6433602,0.49186927,0.06845535,0.0043589473,0.18827154333670829,27893069
683,2175572872,0.24883403,-0.74511003,0.17144203,-16.57548,-15.549449,22.19081,16121.674,0.00019198208,5496267318.725586,0.0,3872.1218,0.26842645,0.05256396,1.6335994,0.5330025,0.28151476,12246.457,0.002160869,0.15280849,0.14949566,0.020767855,0.00073288265,0.15159071188459844,28169305
684,28093187,0.11606753,-0.79353464,0.265202,20.775133,-23.17203,20.720148,16803.463,0.004535922,3836288452.1484375,0.0,4131.236,7.512595,1.5049709,46.196827,6.153043,6.158095,12596.007,0.13296182,4.8392534,3.2390926,0.45969132,0.022657296,0.1619092352857303,27893069
685,28171869,0.045804042,-0.7925801,0.20721135,38.60928,-0.5281229,-2.2266448,16133.452,0.00063887145,3316501617.4316406,0.0,3874.0369,0.6178712,0.117062606,2.9408066,4.359209,1.2646962,12249.107,0.005944619,0.21652235,0.6878625,0.096101075,0.001127214,0.14558316654544695,27864807
686,27828649,0.116007954,-0.78311765,0.34438312,11.406553,-3.77049,-0.38814113,16129.782,0.00040072578,9705215454.101562,0.0,3874.094,0.44856402,0.08585751,2.4164748,2.1512764,0.7182054,12249.224,0.002868562,0.19761804,0.38779718,0.053980313,0.0009768606,0.15169132472559296,27651416
