,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),abun_HI,Z,fractional electron number density,gas density (M_sun/kpc**3),internal energy (km/s)**2,sfr (M_sun/yr),abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),smoothing_length
1300,3597513,1.7986643,-2.3514707,2.9041352,101.85938,-40.60824,134.97142,297788.38,0.0417081,0.0015268244,1.0369967,84630.74,210.21127,0.0,71866.22,36.203995,8.35842,257.6223,57.29264,37.337566,225467.48,4.867574,30.732862,19.466064,2.6354992,0.15365906,2.7633293
1301,2344467,2.3557928,-3.5788045,5.1900296,7.5305443,-72.09258,135.10326,302938.1,0.025029628,0.0033955872,1.0612925,51824.65,230.25862,0.0,73791.2,91.4807,18.635002,592.6939,123.60029,84.77148,228118.27,3.6844268,63.075413,44.304085,6.002339,0.40501323,3.3597724
1302,5881299,2.409376,-3.6224353,4.6459084,6.7234974,-55.252922,73.97777,296733.0,0.025128014,0.0007455106,1.0578771,58269.926,267.64868,0.0,71477.3,20.751219,4.320272,142.8594,11.24854,16.478094,225034.47,0.6757386,15.121919,8.529552,1.1394981,0.09338063,3.2462263
1303,2152877994,0.9445009,-6.4090843,3.816173,1.6580238,-55.17509,40.315174,157276.38,0.056735966,0.007868139,1.0262816,119618.12,209.74051,0.0,39093.71,111.9334,23.32835,764.8385,98.86095,96.705444,116945.18,3.54748,80.67293,50.340973,6.7274814,0.51678896,2.4718633
1304,2151285234,0.7829075,-6.385471,2.7528107,17.337095,-29.826752,1.6341381,160959.28,0.19487706,0.008640196,0.87233424,534433.7,177.9482,0.0,40559.625,142.2076,28.523012,891.17554,61.6167,106.06655,119008.945,2.8529656,94.58213,55.383507,7.836014,0.47570306,1.5065964
1305,3245023,1.191174,-6.404755,3.0343857,2.6207008,-40.09848,6.937051,317608.6,0.1360133,0.0073798345,0.9358307,324592.88,185.3041,0.0,79459.73,241.09918,46.76743,1511.3394,110.791855,177.39796,235804.97,1.6991395,148.71675,92.41873,12.954816,0.7136005,1.8115363
1306,2592212,0.7943456,-6.5727897,2.7004204,18.990814,-45.492596,4.316083,294864.75,0.19813898,0.0,0.8571955,556170.9,181.14453,0.0,70767.54,0.0,0.0,0.0,0.0,0.0,224097.2,0.0,0.0,0.0,0.0,0.0,1.5151919
1307,3446965,3.9725847,-8.034852,3.8359773,1.9714088,-111.69536,28.406752,322750.7,0.016801504,0.010898775,1.0833453,29023.66,185.60503,0.0,81299.94,319.1723,65.97677,2161.223,295.98117,275.89725,237933.17,12.249629,222.78336,143.67242,19.376474,1.2548288,4.2485685
1308,4134525,2.4249358,-8.375801,3.70474,-27.503975,-52.9625,12.789019,294864.75,0.020538142,0.0,1.0639384,38244.207,202.31104,0.0,70767.54,0.0,0.0,0.0,0.0,0.0,224097.2,0.0,0.0,0.0,0.0,0.0,3.8856997
1309,2150181985,0.37582517,-7.5120535,6.1211085,3.0089378,-65.63681,43.49703,162917.86,0.020494461,0.01141293,1.0777577,36428.12,190.08089,0.0,41250.953,173.48827,35.66349,1183.5299,115.23817,141.09958,119807.53,4.5616627,122.02708,73.219925,9.799517,0.74239016,3.628302
